x,y,value
161,256,217
35,390,200
384,63,229
285,220,154
0,45,217
234,303,211
307,277,212
80,284,197
106,42,210
437,31,225
118,382,196
228,138,191
191,235,225
289,87,240
324,219,211
151,314,206
289,321,144
182,252,217
292,392,142
111,97,139
325,248,209
158,246,219
117,389,219
462,33,218
56,454,187
437,151,213
237,397,183
443,468,148
51,287,203
349,247,215
492,63,194
178,278,210
308,18,235
466,152,203
340,119,232
55,271,175
456,137,212
201,419,181
411,460,137
93,138,167
285,379,167
13,372,175
357,131,225
261,130,234
401,20,229
266,233,173
180,88,211
289,313,144
390,165,215
264,82,215
112,107,149
71,317,211
392,403,109
487,149,200
96,397,205
309,222,205
325,122,228
219,426,180
278,458,142
450,349,105
78,451,188
47,94,222
138,348,193
423,69,228
359,349,95
331,378,138
221,83,206
75,101,189
0,282,201
355,89,232
285,48,240
246,462,186
370,75,234
68,38,222
241,133,200
47,70,211
489,58,187
28,491,181
93,306,212
209,272,226
355,146,213
79,379,202
124,72,161
139,142,176
308,100,226
137,80,161
324,94,241
64,241,168
172,452,105
180,41,225
68,204,106
34,83,216
301,276,213
401,388,114
18,416,187
308,252,215
367,236,214
290,385,154
440,389,186
339,396,129
55,398,196
301,235,176
143,229,229
226,367,178
498,360,193
237,32,233
346,51,229
192,218,215
337,448,160
201,169,190
28,185,176
416,349,137
285,39,242
200,11,218
155,243,221
60,76,182
41,203,146
233,221,158
29,167,178
105,348,153
486,331,127
66,29,224
350,341,155
78,393,200
62,318,211
396,338,89
98,341,161
440,21,202
219,223,182
23,144,188
166,391,174
435,462,135
436,476,176
274,248,182
247,282,197
286,44,236
35,77,216
339,3,235
470,224,120
437,99,226
175,11,217
111,57,190
213,217,179
112,171,132
252,80,211
25,156,190
488,222,119
412,230,214
199,15,215
12,496,187
165,119,193
364,391,85
167,17,224
309,338,136
176,358,179
306,334,142
168,245,223
433,208,195
55,446,190
383,330,105
114,479,191
67,380,199
187,273,201
263,289,210
448,249,161
130,231,228
349,360,123
318,173,218
499,347,152
301,224,204
245,290,214
126,216,222
109,218,198
179,147,193
425,285,158
379,9,229
66,402,199
111,301,211
89,48,198
453,351,124
23,402,193
496,215,119
490,291,147
269,231,162
210,282,199
89,219,127
176,390,188
168,47,215
40,177,127
498,276,158
226,219,178
310,228,201
319,359,135
441,424,111
403,43,235
486,340,141
2,315,208
28,209,195
16,217,212
378,480,128
73,183,132
9,273,199
251,315,185
17,47,217
201,250,219
294,410,145
120,427,185
475,164,195
190,413,183
52,63,191
9,46,217
344,150,212
298,80,244
164,358,182
493,200,129
461,42,192
386,181,200
486,381,180
269,335,188
258,386,181
164,371,167
106,404,180
261,160,222
387,293,185
96,185,128
29,183,178
305,314,159
289,193,220
304,140,224
176,113,189
46,450,189
397,428,93
451,64,227
403,10,215
481,333,155
466,410,162
159,358,186
141,85,171
182,394,196
218,247,185
401,468,130
86,91,176
306,39,239
347,428,142
425,324,113
147,154,180
85,332,179
465,342,153
124,487,185
208,279,234
248,272,201
427,484,172
282,331,130
473,246,122
380,162,218
95,428,196
126,45,197
166,260,219
319,237,213
396,406,100
181,393,200
65,233,155
206,173,198
120,330,215
167,368,169
491,326,88
408,227,215
489,415,170
410,69,231
449,116,221
290,427,198
117,138,157
467,262,128
116,205,183
149,483,181
211,295,202
450,164,207
21,53,216
493,224,137
390,415,98
37,136,188
386,494,152
442,132,220
204,484,173
212,190,191
280,234,176
370,469,134
237,443,166
322,479,173
414,180,197
248,113,180
248,420,187
240,204,159
298,383,155
326,378,140
388,497,152
244,223,147
448,326,99
430,207,196
157,352,205
